B,ST_UMUT_CDP,0,2.0301014400133297E-6, 3.071219331859252  4.89256611629604  2.1774270699190224  2.0386669708856946  4.24528584681927  0.8135679969199474  0.4352877359492471  3.0086484657337085  1.66749931152372 -0.5379740387065421 -4.846874029976625  2.0543545893840784  1.4689204672174094  1.3615102590904273  1.4758341895313265  3.8982212827701677 -0.04003379288614273 -3.5208432772272724  1.949336329360226 
B,ST_UMUT_CDP,1,1.0223504480635126E-5,-3.9179533271319924 -4.807667894912592  2.370787795554941  4.891018063778336  1.7152656657967462 -4.977628403532728  1.8167212251498155  2.0320307078220248  0.06396591378714334  4.296663056557726 -2.3084077563752614 -3.540437393337527 -4.3590192978785485  2.6380688799025  3.8415001347634927  1.4783169960382985  2.3782478135276524 -1.38923746855653  0.7996487615224854 
B,ST_UMUT_CDP,2,2.4927344572141213E-5, 2.920485472595172 -4.727331877848792 -2.107831349685658 -3.387310769601546 -1.3460963538154722 -4.9903323760702545 -1.1165678121522946 -0.46574310316913614 -3.3837883685246597 -0.5102621977159769  0.246767270803967  1.8447020228399245  2.5454777873681973  0.4813486686973354 -3.423000707422558 -3.8270815045087447  1.01824325418605 -0.6970343106244039 -2.521199975886047 
B,ST_UMUT_CDP,3,2.6870497373017445E-5, 2.478714204138414  4.798996427565912 -3.031797338451657 -1.8423030052419866 -1.7286140521932012 -4.852915766265403 -3.1847735243025213  2.3089776036715817  0.10157545734895379 -2.9618847473168533 -2.758970680332342  4.086379868802062 -2.5513721224229844  1.5263489522800322 -3.4008355526811327  2.5936734145611107  1.027443860049365 -0.8171989706769391  0.7149288855896838 
B,ST_UMUT_CDP,4,1.1773841793736832E-5, 4.2100857005272445  2.475203096606082 -2.0252907549922137  0.14222285329550033 -4.156874289437554  2.651459531037423 -4.899922950874557 -2.3371020711444612 -4.847153515859052  1.066374417800441  2.286159103134908  0.05782120461164908  3.7441973867902885 -0.818168344055243  0.375123904604334  2.4442294075496154 -1.9121386733580161  3.7314354837448462  3.04779988218767 
B,ST_UMUT_CDP,5,5.785441597459417E-6, 4.835569066961691  1.3627375418783974 -2.1142329209623476 -1.59954205239171 -3.3916074407902466 -2.679241628962391 -4.735509819808361 -1.9303493038194253  0.6489658713845436  2.4690135266321924 -1.5278923503722384 -3.58445374994258 -3.6366308459173435  4.215287153157014 -4.663016463492269 -3.227925916833072 -4.35906161033194 -4.686306257141498 -2.397593999630079 
B,ST_UMUT_CDP,6,5.345143013070873E-6, 1.6286973340040776  1.958150073883255 -1.0568944373653522  4.942708397028255 -4.9472853804533665  1.6165979617113386 -2.441985078716431 -0.09699224156220154  0.3038803508986012  3.5576096047779444 -2.236425353436642 -0.7274547029616629  4.820904197943065  3.4728957330113825 -4.25557340965341  4.364302868761531 -0.03546858446733836 -1.0892652036658532  1.2635647551729798 
B,ST_UMUT_CDP,7,2.750240509802864E-5, 4.50874226110364 -4.332750035998493 -0.5745467009652128 -3.1799133011838054 -2.2658969504997395 -1.6552820924745095  0.3945252725655646 -0.7121362281884096 -3.4143541769655505  0.23981102551398603  0.9935142192950934  0.059382876221814485 -2.747959947222103 -4.0809344956896565 -3.965937444737715 -1.8409598371545046 -2.7046370242734974 -0.6960732263222731 -2.8865278636839276 
B,ST_UMUT_CDP,8,1.1454089532182777E-6,-2.8815753036970237  4.830488259352709 -4.46419833999108 -0.7384187920367911  1.7897303926809416  0.439613246660012  1.1741099793720897  4.3825225790339974 -2.371576926310577  2.592333463376198  0.00338110071155473  0.07467950508934607 -1.593345914848335  2.1703627639980123 -3.542352937141986 -1.3163362265683762  4.400429497266815  0.13879497872610802 -3.061978632179713 
B,ST_UMUT_CDP,9,4.203336101728813E-6, 4.5342664476987355  1.5843838333647007 -2.523775197617039  1.3172754982402566 -4.874353881513541  2.309586665451614  3.2454247226282487  1.942145933482566 -0.2527792325923368 -0.5109437413127571  4.405004995377057  1.5916756591770316  3.41178553277196 -3.045051098758713 -2.277152327768407  4.4949188018368105 -0.671287122669634  0.9555634579847112  0.868810407591317 
B,ST_UMUT_CDP,10,2.0226355658620663E-5,-2.188011191584623  1.2293191196962887  3.1788695422443674  4.985956363026258 -2.144914936526047 -4.900388560631779  0.9443061751048196 -3.6405979147836387  0.04657853269494616  3.229559185126572 -3.8090951640525104 -2.3915935838690294 -1.3272954530695582  1.1620321674951173  2.7591073173837053  3.7477130140867487  1.7768446474406456 -0.40703293489360526 -0.35367740930650093 
B,ST_UMUT_CDP,11,9.96534607032638E-6, 0.8007199214611074 -0.9015502107266204  2.3490532277550136 -4.075546631294731  2.6144173082072353  4.999311875095687 -3.4809638047108926  1.9754331191934726  0.47922607298550624  1.8375154674867114  2.480725044208482 -2.6789513803450085 -1.0978578042759835  4.864936027515025  4.818721035248343 -2.43837617630727 -2.5848508314582053  4.567265127228314  1.4772230227228835 
B,ST_UMUT_CDP,12,2.4769656321601653E-5,-4.962034660919514  4.9431103236511404  3.5040686412664392  4.979830446446142 -4.95103643041835 -1.8469623593581517 -1.7651027311862286  4.748906980126588 -0.43085420118519124  2.610296703342194 -2.8772987105183945  0.8159947472293494 -1.2873341041091568  0.28933289289430864  1.799196649407775  2.7559088962210234 -3.390866525505908 -3.417110832500725 -4.5870885583955445 
B,ST_UMUT_CDP,13,4.65296581642435E-6,-1.054235327980778 -4.585848738587477 -4.106882020393119  0.07802002759942361  2.278983067341981 -0.8778574044713441 -1.8816625390037025 -3.234202744022421 -1.4026930687932726  2.7456767760009555 -0.5441473744597589 -2.8188027810340266  0.4354096804765817 -4.1996601227809975 -2.1983549064348695 -3.81751197173306  4.608596739667931  4.581083067646599  4.900531513247584 
B,ST_UMUT_CDP,14,1.443484797933767E-5,-1.6639072772264427 -4.962266163107173  1.764051550745524 -0.36009953247563686  3.829806473976049  0.6263464362317217  0.16779570570949698 -2.1786076636501783 -1.145561687609061  3.7674028114189344 -0.7710318317569653 -2.628617630149427 -3.2706216243573003 -4.754201874702578  0.7571266202098723 -1.0329610026042522  1.298419513659205  0.6865627642645711 -0.9270505768155948 
B,ST_UMUT_CDP,15,7.908060251913655E-6, 3.406813478238437  4.93830474187474 -3.7649286986244848  2.824205156299585  2.4355858234441516 -1.3655173068629822  1.9825599311244693  3.8561474635577646  3.5177188810557105 -0.17866446978571382 -2.080541371750461  1.7871796378445337  3.7324236144015863  3.9922324879159667 -4.268925261600414  3.4613842568713427  1.1267565250394282  3.286036227758279 -4.727400371639719 
B,ST_UMUT_CDP,16,1.3009794906068763E-6,-1.1849125266883997 -4.774121422307545  0.7590272005904133  3.273347162779185 -1.5965347700419685 -0.44245296227225506  3.573894193572638 -3.5825142002733736  0.44626411509974506 -1.5388496851732825 -0.1812553760807445  4.735013890846483 -4.7545640554491975 -4.985513070559906  2.021068528623786  2.1421117046016738 -4.813018497028441 -2.2727378499704356  2.2829819559272675 
B,ST_UMUT_CDP,17,6.956661047925463E-6, 4.9837286319443095  2.7558540813190433  2.6688766583898325 -4.915828591892415 -0.44850815411185874  4.2984695892151805 -2.6258397155576607  0.05009523078407874 -1.8514737764910172 -2.9280087268260657 -1.7661607358153164 -4.249652731676879  0.9550019594151662  3.326264635819763  2.672393708402253 -2.2994284476254334 -2.6696711017701413  0.7204908431844661 -0.763385674467127 
B,ST_UMUT_CDP,18,8.519790770290153E-6, 0.6031366338151534  4.779213853327544 -4.90783126848953 -2.431526270742148 -4.980413310306243  2.837480720321013 -1.2955836794891495 -3.759299989617907 -3.6780460357415623  0.0525426529048465 -2.934959156916863  3.0270239332112183 -1.0981468467631172  4.026956779189685 -2.9274743671708645 -4.224077876551594 -2.8289428294916394 -3.7366722418146656  1.2800641023992334 
B,ST_UMUT_CDP,19,2.970665990366713E-5, 4.993527816008198  3.7637146764873037  2.7133377442608335  4.775901606258579 -4.851404639045063 -1.0597292763847244  2.323989743511312  0.4352693033497914 -2.282884373095274  0.8524629252064395  2.6126349470723937  0.9506169016766783  3.075240858570284  4.6873320756738295 -0.32082431679374324 -2.6093152923528673 -2.639158556318119 -3.062998491635925  1.431443054192699 
B,ST_UMUT_CDP,20,1.7320604853136794E-5, 4.747831832092464  4.990449560818474 -2.8303402154674693 -4.555681803304167  0.6700113298002179 -1.1553242146124285  3.1713342346948767  3.7240515656191295  0.07191764940089307 -0.001143732474591097 -3.4398293899532817  1.2545144257687824  1.5516630010066503  3.8796013103439364 -4.443111041154733  0.7297434104625751  4.327497484239121 -2.6127706126665675  1.4280931306881879 
B,ST_UMUT_CDP,21,5.877565903769139E-6, 2.880470973557144 -2.514783341522259  1.679004709186068 -4.38391765691177  2.7788652364385964  3.942347546749147  2.9861200256618954  2.805467675849627 -0.8509262446319799  2.8057944705679656  0.7662676398638082 -1.0946133925738897 -2.3755380974632843 -2.509496983653724  3.646964281000752  3.3627165699515125  3.006404995775087  1.4624887276495304  3.265517682910321 
B,ST_UMUT_CDP,22,3.7065751906846383E-6,-3.873578146624075  1.7878015849570739  4.8049953895028725  4.655368794547563  4.151669849849293 -0.4731600793802855  0.2688209894626521  0.5645267758882122 -1.432612446998962  1.7506263514540166 -1.4159220890130744  3.2742602425054272 -1.2851082638280875  2.842413332792855 -2.2184609773382613  0.9915069842537525  3.8482291181550075 -4.645056336897211  4.015131611646465 
B,ST_UMUT_CDP,23,1.0764186336662111E-5,-0.15350929225348686  1.8056023944764519  4.957570939937057 -4.979709405575066  2.254373773531566  0.40255598263946446  2.0211840285576095 -2.4383157750228026  3.413896046489157 -2.565288103157485 -0.09547082733354095  0.3419007723084082 -0.21711999932907666  4.150237118370082  4.157195737674197 -0.18235740308469772  4.216867402726715  1.1482741713200966 -0.017239411831661222 
