B,ST_UMUT_CDP,0.000020055,
Hidden Layer Count: 8,,,
Population Size: 50,,,
Exit Error: 0.0,,,
Mutation Rate: 0.1,,,
Tournament Selection Number: 6,,,
Elite Population Size: 2,,,
