B,ST_UMUT_CDP,0,6.537373342276668E-6,-4.34381896977285  4.990812177566269 -4.8416005239293085  4.9625128655318065 -2.570152036152077 -4.958152163740457  4.958700096743652  2.289500153700052  1.3273272543382735  3.3425249076686807 -3.376968977354571  2.862049653077211 -0.5198186448599067 -3.612619120856342  1.916524654117488 -2.7030645227836936 -2.287870029733864  1.4419108041789386 -0.3651609075227178  0.671527770777022 -3.583533399077216 -4.091772786103297  0.031148195746180107  2.228193780626314 -4.101923096517216 
B,ST_UMUT_CDP,1,1.163935477261597E-6, 0.9006447246482487  1.932588129753663 -4.965576382456148 -1.0961736804085254  4.715422839721828 -3.1994345695274506 -2.4865535582647293 -3.8979869866924344  3.4922323500596057 -0.46373704992774734  3.2333426742808236  0.9150291443017782  2.5267813217758963 -0.1921889667787946 -1.3265905195837089 -0.3033505502819427  3.99707781324555  3.3603785334520317 -2.1135628309937013 -3.2857204183570046 -0.1858781733468815  0.8561354339771494 -3.994480642975855 -0.8776502915882656 -1.4277348579249196 
B,ST_UMUT_CDP,2,4.530990347848698E-5,-0.19742260498682906  4.722211973639892 -4.921719386088874  0.17075986571368418 -2.8454747427196136  4.95926216352048 -1.3082987670109834 -2.95595429384527  1.4975064855935747  1.3610895390613127  2.9152482493647804  1.1877520693820918 -1.44087750317613  2.8837628927933965 -1.4399242158328471 -0.25209403944527065  3.7650901466780535 -1.0295109479271125 -3.1679465570793166  0.16534183367227318  0.40211761343644437  0.9734485776086697 -3.182533276458388 -3.8894239302188858 -3.899775806025424 
B,ST_UMUT_CDP,3,3.45530503686994E-7, 4.318740429124279  2.3541232381937336 -4.593172931519758  2.6300157660138463  0.0473424268098217  2.693528879125342  4.967285454650304 -3.52179902428984 -2.645851982762469 -1.685238934975395  0.4369268126673269  0.42467359019944695 -2.1915651230055175  2.2866546648186823 -1.5983509477909297  0.45492108934553155  0.047771361808615076  2.479945561684877 -0.1272306504906151  3.078753657354577 -0.8587750293985046  2.59498324522154  0.8311669845511771 -0.3708110683372574 -1.2730106864479085 
B,ST_UMUT_CDP,4,1.4468399449330175E-6, 1.1145766152024192 -4.982028205094826 -3.238634524282756  3.0443969095299384  4.998949883680449 -2.848158392986193  0.08576801632556474  1.841639605441351 -0.24360735626178354  3.2803744687776764 -1.2059213811834848  3.583050132444688  4.09614449916012  0.2776454130479342 -4.408733407113441  1.201056470294814  2.1632419932871016 -0.9554995411798934 -3.4887827565954033 -2.8275252166586795  1.2722710703581388 -2.548004195274478 -3.5496461759961075 -4.222565116718697  0.7687929335101176 
B,ST_UMUT_CDP,5,2.2524571618512547E-5,-1.6638122166485179 -2.659564529816657 -0.7350755033292034  4.7381744238538985  3.134744999676185 -2.9533387435234126  0.8923118681144544 -2.5665115932694196 -2.2803943478980573  0.8828217816183095 -0.9785669585502994  1.5732797378763141 -2.3253561102490306 -1.957341316824781  0.809543705226778  0.8273918724889757 -2.1292789627538946 -1.3127230267115166 -3.778740496199  3.2005613997465368  3.511411560699514  1.8311589218441524  1.236488279793221 -2.5764390094846314 -0.8096082548063466 
B,ST_UMUT_CDP,6,1.9232924597859963E-5,-4.344946320887074 -0.8440772699051058  4.986233223239495  3.4527729127175792 -4.957168435134548 -0.49252583252381044 -4.739530664234012 -4.908898960888671  1.7330155153145093 -1.9630217695492727 -3.5034656971546054 -0.6247179379446095 -1.656681366376942 -0.0651283123243287 -4.153133766867701 -2.9484997721160147  2.7989611525791958  0.785446144961174  4.920653484181816  3.2928005476974604 -1.4174272257858012 -4.751223049191516 -1.646790950702485 -4.931499183150461 -3.322231893931973 
B,ST_UMUT_CDP,7,6.926568752463125E-6,-3.872545863995598  4.952007514288875  4.956378540543762  1.3253065440632374 -2.4208683204024273 -1.2545625438043615 -1.4258230457305765  0.6881176418020685  0.6031130998898178  2.9949019039255367  3.0740069069235236 -2.8937842358095334 -0.0658643672982766  2.6670551983733057  1.4256822353585088 -1.374724819185217 -0.7062792915140541  3.5265973060797897  3.797720538367596  3.418134345968106 -2.8303898411544393 -1.2492408246889086 -2.6170988307550678  0.6940823531886888  0.47237194167558627 
B,ST_UMUT_CDP,8,1.1128854047113196E-4, 0.599490017795171 -4.983946043160859  0.6713556217311343 -4.933283927629218 -4.921388364251679 -3.1023517648711465 -0.08550977604371202 -4.859434665265202 -1.8034096661156762  1.7511804034865328  1.2340325897852713  2.347739428608598  2.9700495616231235 -0.7238230574519369  2.3777184088668566  2.6734172031612147 -4.0728507958429745 -0.07408190644218493  4.370001613853615 -3.8892201327496756 -3.856816736197246 -4.269080519925471  2.8298165216200637 -2.3741315145734756 -2.8636281900452785 
B,ST_UMUT_CDP,9,3.533851291213724E-6,-4.84374175114317  1.9038560952967174  4.969944828938619  3.848908465047055  0.29095904623552116 -2.1135536199901637 -2.347750320334762  3.4210989949255293 -3.4389397919169062  1.4760058430172815 -3.3825625725603556 -2.0569439767227706 -0.27154841008472097 -2.976802728951944  1.8012482721884595  0.1062012718482066 -2.185292219203907  3.272755491362343  3.5588414935737376  4.165081418333116  0.4923016715949604 -4.688651677725955  0.08297003048965657  2.254213300508072 -2.395441374592868 
B,ST_UMUT_CDP,10,5.990203403334098E-7, 2.5197171167631547  1.2661444043381405  2.5900285250945227 -0.7617514296903298  0.7476371826105987  1.651555801218386  4.214800592967121  4.7055810373241265 -0.49856527432160114 -2.0999793127605537  3.9113056960437174  0.7580791170576191 -0.00424198668079967 -0.19337821786995146 -4.242189310893591  2.340135162328746  0.3315497922966948  3.5611293963587283  0.7544076934651445 -0.4170825747031621  4.9013500514654424  2.9597520154401193  0.8797946937443166  2.7944411166131786  1.8436769028578501 
B,ST_UMUT_CDP,11,1.7671205239569766E-5, 4.916025350301679  4.171832691193178 -1.9357785266252736 -1.0051872495117098 -4.474383908161893 -2.7280475222716594 -4.674954657427197  4.322831746489255  2.4906516949746305  0.8289919922897857 -2.3292005296269034  1.0662379046566661 -3.43199675385348  3.874736162562769  1.1710450122931162 -0.8882940893743836 -1.188901019422052  2.8120404394783627  4.343490582126471  2.721006225926642 -4.572630826635407 -3.9552128253702867 -2.1082550111673215  0.738370836503953  3.0326615672026733 
B,ST_UMUT_CDP,12,1.0729594581367877E-5,-3.6855360957118433 -4.977667478933798 -0.10168761954822525  4.975063275670527 -0.45292322891206904 -0.6370213066680748 -0.7426491183771669  4.9126667428135224 -0.17162483492807556  1.7760849222122275  1.6528332396091736 -3.0023517921878873 -0.2721344994346797 -0.9762322780518815  2.3459654665790373  2.8706412883182573 -2.3005905890109912 -1.1197257037520716  0.4920777575770021  2.5329568523160804 -0.8933380713318062 -2.9273404025718666  0.8971691263459949  1.6906105727296161 -2.2618859098803155 
B,ST_UMUT_CDP,13,2.119122943945747E-6,-2.4576768750593647 -1.484336320471514 -1.0446651996038736  4.270152938058663 -4.976905394337346  2.738647024877709  4.958854209113344 -2.858645825790057  0.12459316191491965  2.8537480783231084  0.1808274032743009  2.349887896031392  3.297668207185758  2.679804040581585  3.443602749970287 -3.364268035517022 -3.9131368185721493  4.568895231850265 -0.161216425321971  4.44660925983748 -2.802217916236697 -4.675717365979492  3.523270435348463  2.2585402554111402 -2.229544822465167 
B,ST_UMUT_CDP,14,4.130009199575532E-5, 0.8046377713459343 -3.7480579340559803 -4.99636918303427 -4.399002017571921  4.964149711618504  4.149075720787476  4.847179620944695 -4.993614558790852  0.5796550753844958  4.297386270207534 -2.4808839561184834  2.1276323188683763 -2.880336657714766  0.15542616481894278  3.1617903240645724 -2.804802130270688 -2.9733031292209136  2.0481648867239857 -0.2927177195627486 -2.795140544819917  4.530169947394972  2.7605178648514173  2.6063767672915716 -0.5597888735927414  2.860036151112425 
B,ST_UMUT_CDP,15,1.4733373982696012E-5, 4.971191004367357 -2.7356974757789496  4.767493116414451 -4.935802676878801  4.836946231282207  3.564148517506025 -1.7175665060210088  0.22379981730218734 -3.5509821694967414 -1.6837518608209079  1.7344519546369153  3.519438422627948  1.1379755611615572 -0.7093830856797778  0.7022911555120714  0.57071588763666  0.8095166373671958 -1.744836563228164 -2.9997990212809365 -4.05731332838301  3.1478749659692404  2.610606864951568  0.8791465381748162  4.726789899065407  2.115648123036266 
B,ST_UMUT_CDP,16,1.2384649831781226E-7,-4.828601518451925  0.8603915361127132  2.3433864289000965  1.293809003980936  1.6007028247742392  1.0150107378226938  4.68624059352906  4.042572331624823  3.3330902642524443 -2.4195697487352863 -0.027485197642164394  2.4711289013801263E-4 -4.2207095839585 -4.037076407727943 -2.8555116512652368  1.644000703906939 -0.4801263355915566 -0.13122298152425405  1.8536113807000607  3.848733358172037 -2.880257957192871 -2.9257831778077072  4.1907544656464495  0.7984041116228866 -1.9807459088234647 
B,ST_UMUT_CDP,17,1.714728359449468E-5, 2.997464869610612  4.612791912341903  4.959150185344438 -1.9909552853968107 -3.89257847491582 -2.2920786228879364 -3.848876398533098  0.3092501434534709 -2.4009721942579896  1.9183242354149872 -0.4315984828943602  2.311301571025732 -0.7190158421345174  4.935684972235304  1.0023138152483622  1.316044699018435 -1.7566977891586335  2.537331895809465  0.02343118192303706 -0.0771921063322134 -1.6258162569079895  3.0242765682035433 -3.221934539999988 -4.127688207918075 -2.0706266156811184 
B,ST_UMUT_CDP,18,7.82731681487086E-6,-4.024885643816175 -1.47633944266527  4.994509522334102  2.463932470976319 -4.940908215302543  3.5143005082221688 -3.211213121192799  4.882130944397982  1.361117616488226  1.2363986863318441 -0.20571851038473632 -1.6065151932364041 -4.242111232929062  2.195194934354209 -0.2795886031665509 -3.244892876260427 -3.625766950824806  4.665301129433274 -0.041156669036594096 -4.580576220544299 -3.58152465445009 -0.8821658287302512 -3.584223589574478  3.830414224905338 -4.868262490562675 
B,ST_UMUT_CDP,19,3.812128423719307E-5, 4.92776535086781  4.854026033532541 -4.989251499426927 -0.3549315624821574 -3.5329041918421167 -3.475231350368065  4.9723795148459295 -1.9468621202487446 -2.1476978486085008  2.7704908775576467  2.219786816057151 -2.6546275132535744  1.931027683727943 -0.8772586692313533  2.240951364082944 -0.7029740930195647  0.7149180989126469 -0.2298891615215135 -4.865801632057972 -4.937106954000273 -4.308517183784489 -3.4940706547247946 -1.1538886201585918 -1.0164691126007321  2.9803377825435184 
B,ST_UMUT_CDP,20,1.2501945821902743E-5,-4.980411017814136  4.956773901474653 -0.8170374209319933  3.4231092452042926 -4.994982996263333 -4.851356442325766  1.3161913042067352 -4.916189722363762  1.4345907641965638  2.5285733178934553 -2.4359236684551187 -0.4522196343472764 -3.8753284658511133 -1.4163423262515886  2.4664905402130675 -2.644754230016668  0.6654932018617998  4.038381423843486  3.139244699885605  3.344727010269837 -2.333974984670263 -0.7288855493233157 -0.8364344656070752 -2.185014220820365 -4.399120801509611 
